ulb,district,type,basis,sewage_mld,installed_stp_mld,utilised_stp_mld,gap_mld,calculated_gap,utilisation_pct,treatment_coverage_pct
Nadiad,Kheda,New MC,Calculated as per 80% of Water Supply,32.0,51.26,20.0,12.0,12.0,39.02,62.5
Nakhatrana,Kutch,RCM,Calculated as per 80% of Water Supply,,0.0,,,,,
Navsari,Navsari,New MC,Calculated as per 80% of Water Supply,46.67,47.4,0.0,46.67,46.67,0.0,0.0
ODE,Anand,RCM,Calculated as per 80% of Water Supply,3.56,2.5,2.5,1.06,1.06,100.0,70.22
Oad,Anand,RCM,Calculated as per 80% of Water Supply,,0.0,,,,,
Okha,Devbhumi Dwarka,RCM,Calculated as per 80% of Water Supply,2.8,11.1,0.0,2.8,2.8,0.0,0.0
Padra,Vadodara,RCM,Calculated as per 80% of Water Supply,6.14,5.6,5.5,0.64,0.6399999999999997,98.21,89.58
Palanpur,Banaskantha,RCM,Calculated as per 80% of Water Supply,18.03,21.3,0.0,18.03,18.03,0.0,0.0
Palitana,Bhavnagar,RCM,Calculated as per 80% of Water Supply,5.46,10.81,0.0,5.46,5.46,0.0,0.0
Paradi,Valsad,RCM,Calculated as per 80% of Water Supply,3.36,4.6,0.0,3.36,3.36,0.0,0.0
Patadi,Surendranagar,RCM,Calculated as per 80% of Water Supply,2.31,3.4,0.0,2.31,2.31,0.0,0.0
Patan,Patan,RCM,Calculated as per 80% of Water Supply,19.3,25.0,16.0,3.3,3.3000000000000007,64.0,82.9
Petlad,Anand,RCM,Calculated as per 80% of Water Supply,16.83,10.37,6.2,10.63,10.629999999999999,59.79,36.84
Porbandar,Porbandar,New MC,Calculated as per 80% of Water Supply,24.83,44.9,5.0,19.83,19.83,11.14,20.14
Prantij,Sabarkantha,RCM,Calculated as per 80% of Water Supply,3.38,3.7,1.0,2.38,2.38,27.03,29.59
Radhanpur,Patan,RCM,Calculated as per 80% of Water Supply,2.87,6.0,0.0,2.87,2.87,0.0,0.0
Rajkot Municipal Corporation,Rajkot,MC,Calculated as per 80% of Water Supply,,56.0,,,,,
Rajpipla,Narmada,RCM,Calculated as per 80% of Water Supply,3.75,5.5,0.0,3.75,3.75,0.0,0.0
Rajula,Amreli,RCM,Calculated as per 80% of Water Supply,3.69,5.7,0.0,3.69,3.69,0.0,0.0
Ranavav,Porbandar,RCM,Calculated as per 80% of Water Supply,5.3,7.5,0.0,5.3,5.3,0.0,0.0
Rapar,Kutch,RCM,Calculated as per 80% of Water Supply,3.28,5.2,0.0,3.28,3.28,0.0,0.0
SIHOR,Anand,RCM,Calculated as per 80% of Water Supply,5.78,8.9,0.0,5.78,5.78,0.0,0.0
SWADHWAN,Anand,RCM,Calculated as per 80% of Water Supply,,12.1,,,,,
Salaya,Devbhumi Dwarka,RCM,Calculated as per 80% of Water Supply,2.36,6.2,0.0,2.36,2.36,0.0,0.0
Sanand,Ahmedabad,RCM,Calculated as per 80% of Water Supply,8.39,19.2,0.0,8.39,8.39,0.0,0.0
Santrampur,Mahisagar,RCM,Calculated as per 80% of Water Supply,2.41,2.91,1.75,0.66,0.6600000000000001,60.14,72.61
Savarkundla,Amreli,RCM,Calculated as per 80% of Water Supply,7.31,13.4,0.0,7.31,7.31,0.0,0.0
Savli,Vadodara,RCM,Calculated as per 80% of Water Supply,3.14,2.5,0.0,3.14,3.14,0.0,0.0
Shahera,Panchmahal,RCM,Calculated as per 80% of Water Supply,1.67,2.8,0.0,1.67,1.67,0.0,0.0
Shihor,Bhavnagar,RCM,Calculated as per 80% of Water Supply,5.78,8.9,0.0,5.78,5.78,0.0,0.0
Sidhpur,Patan,RCM,Calculated as per 80% of Water Supply,6.65,13.5,0.0,6.65,6.65,0.0,0.0
Sikka,Jamnagar,RCM,Calculated as per 80% of Water Supply,3.41,2.9,1.5,1.91,1.9100000000000001,51.72,43.99
Sojitra,Anand,RCM,Calculated as per 80% of Water Supply,1.44,2.5,0.0,1.44,1.44,0.0,0.0
Songadh,Tapi,RCM,Calculated as per 80% of Water Supply,4.0,4.5,0.0,4.0,4.0,0.0,0.0
Sutrapada,Gir Somnath,RCM,Calculated as per 80% of Water Supply,0.56,4.0,0.0,0.56,0.56,0.0,0.0
Talaja,Bhavnagar,RCM,Calculated as per 80% of Water Supply,2.99,5.8,0.0,2.99,2.99,0.0,0.0
Talala,Gir Somnath,RCM,Calculated as per 80% of Water Supply,2.74,3.8,0.0,2.74,2.74,0.0,0.0
Talod,Sabarkantha,RCM,Calculated as per 80% of Water Supply,1.75,3.6,0.0,1.75,1.75,0.0,0.0
Tankara,Morbi,RCM,Calculated as per 80% of Water Supply,,0.0,,,,,
Tarsadi,Surat,RCM,Calculated as per 80% of Water Supply,2.64,2.5,0.0,2.64,2.64,0.0,0.0
Thangadh,Surendranagar,RCM,Calculated as per 80% of Water Supply,3.86,9.0,0.0,3.86,3.86,0.0,0.0
Thara,Banaskantha,RCM,Calculated as per 80% of Water Supply,3.05,3.3,0.0,3.05,3.05,0.0,0.0
Tharad,Banaskantha,RCM,Calculated as per 80% of Water Supply,3.39,4.9,2.5,0.89,0.8900000000000001,51.02,73.75
Thasra,Kheda,RCM,Calculated as per 80% of Water Supply,1.46,2.3,0.0,1.46,1.46,0.0,0.0
Umargam,Valsad,RCM,Calculated as per 80% of Water Supply,4.33,6.48,0.0,4.33,4.33,0.0,0.0
Umreth,Anand,RCM,Calculated as per 80% of Water Supply,6.1,6.1,6.1,0.0,0.0,100.0,100.0
Una,Gir Somnath,RCM,Calculated as per 80% of Water Supply,8.27,11.7,8.0,0.27,0.2699999999999996,68.38,96.74
Unja,Mahesana,RCM,Calculated as per 80% of Water Supply,6.42,11.6,5.5,0.92,0.9199999999999999,47.41,85.67
Upleta,Rajkot,RCM,Calculated as per 80% of Water Supply,6.4,8.0,0.0,6.4,6.4,0.0,0.0
V.V.nagar,Anand,RCM,Calculated as per 80% of Water Supply,9.34,21.0,0.0,9.34,9.34,0.0,0.0
Vadali,Sabarkantha,RCM,Calculated as per 80% of Water Supply,1.88,3.8,0.0,1.88,1.88,0.0,0.0
Vadnagar,Mahesana,RCM,Calculated as per 80% of Water Supply,3.2,5.94,1.0,2.2,2.2,16.84,31.25
Vaghodia,Vadodara,RCM,Calculated as per 80% of Water Supply,,0.0,,,,,
Vallabhipur,Bhavnagar,RCM,Calculated as per 80% of Water Supply,0.95,2.3,0.0,0.95,0.95,0.0,0.0
Valsad,Valsad,RCM,Calculated as per 80% of Water Supply,36.39,31.2,3.0,33.39,33.39,9.62,8.24
Vankaner,Morbi,RCM,Calculated as per 80% of Water Supply,3.82,5.8,0.0,3.82,3.82,0.0,0.0
Vanthali,Junagadh,RCM,Calculated as per 80% of Water Supply,0.98,2.2,0.0,0.98,0.98,0.0,0.0
Vapi,Valsad,New MC,Calculated as per 80% of Water Supply,18.24,14.0,4.0,14.24,14.239999999999998,28.57,21.93
Veraval,Gir Somnath,RCM,Calculated as per 80% of Water Supply,19.72,33.9,0.0,19.72,19.72,0.0,0.0
Vijapur,Mahesana,RCM,Calculated as per 80% of Water Supply,3.55,4.1,2.5,1.05,1.0499999999999998,60.98,70.42
Viramgam,Ahmedabad,RCM,Calculated as per 80% of Water Supply,12.02,19.5,1.5,10.52,10.52,7.69,12.48
Visavadar,Junagadh,RCM,Calculated as per 80% of Water Supply,1.5,3.4,1.5,0.0,0.0,44.12,100.0
Visnagar,Mahesana,RCM,Calculated as per 80% of Water Supply,7.52,17.3,6.5,1.02,1.0199999999999996,37.57,86.44
Vyara,Tapi,RCM,Calculated as per 80% of Water Supply,5.6,6.5,3.5,2.1,2.0999999999999996,53.85,62.5
WADHWAN,Anand,RCM,Calculated as per 80% of Water Supply,24.27,32.3,12.0,12.27,12.27,37.15,49.44
Zalod,Dahod,RCM,Calculated as per 80% of Water Supply,4.6,4.6,4.6,0.0,0.0,100.0,100.0
